# Class Mod Skill Perk Pool (Orange/Legendary)		
Orange class mod	ClassMod_Part_Beastmaster_Unique_01_Friendbot.ClassMod_Part_Beastmaster_Unique_01_Friendbot	Psycho Head on a Stick / All my BFFs / Barbaric Yawp When FL4K kills an enemy, their pet gains second wind
Orange class mod	ClassMod_Part_Beastmaster_Unique_02_CosmicStalker.ClassMod_Part_Beastmaster_Unique_02_CosmicStalker	Big Game / Interplanetary Stalker / Hunter's Eye FL4K's Hunt Skill Power is increased by 25%
Orange class mod	ClassMod_Part_Beastmaster_Unique_03_BountyHunter.ClassMod_Part_Beastmaster_Unique_03_BountyHunter	Hunter's Eye / The Most Dangerous Game / Frenzy FL4K has a 3% chance to activate any purchased Hunt Kill Skill when dealing gun damage. Bosses are now treated as Humans, Beasts and Robotics for FL4K's Hunt Skills.
Orange class mod	BPInvPart_ClassMod_C ClassMod_Part_Beastmaster_Unique_04_DE4DEYE.ClassMod_Part_Beastmaster_Unique_04_DE4DEYE	The Fast and the Furryous / Go for the Eyes! / Two F4ng FL4K and their pets deal 35% additional damage against enemies above 75% health.
Orange class mod	ClassMod_Part_Beastmaster_Unique_05_RakkCommander.ClassMod_Part_Beastmaster_Unique_05_RakkCommander	He Bites! / Go for the Eyes! / Eager to Impress Rakk Attack gains 1 extra charge!
Orange class mod	ClassMod_Part_Beastmaster_Unique_06_RedFang.ClassMod_Part_Beastmaster_Unique_06_RedFang	Eager to impress / Ferocity / He Bites! While Gamma Burst is active, FL4K's pet taunts all enemies.
Orange class mod	ClassMod_Part_Beastmaster_Unique_07_BlueFang.ClassMod_Part_Beastmaster_Unique_07_BlueFang	Fade Away kills have a 33% chance to refund a Fade Away Charge and extend the duration of Fade Away by 3 seconds.
Orange class mod	Part_CM_Beastmaster_Raid1.Part_CM_Beastmaster_Raid1	
# Class Mod Skill Perk Pool (Purple/Very Rare)		Note to self, come back and change these to skill tree names:
Purple class mod	ClassMod_Part_Mod_Beastmaster_01_QuickCharge.ClassMod_Part_Mod_Beastmaster_01_QuickCharge	Hunter's Eye / Two F4ng / Turn Tail and Run
Purple class mod	ClassMod_Part_Mod_Beastmaster_02_Divergent.ClassMod_Part_Mod_Beastmaster_02_Divergent	Eager To Impress / Hive Mind / Who Rescued Who?
Purple class mod	ClassMod_Part_Mod_Beastmaster_03_Bushmaster.ClassMod_Part_Mod_Beastmaster_03_Bushmaster	Ambush Predator / Leave No Trace / Turn Tail and Run
Purple class mod	ClassMod_Part_Mod_Beastmaster_04_Whistleblower.ClassMod_Part_Mod_Beastmaster_04_Whistleblower	Sic Em' / Eager To Impress / Psycho Head on a Stick
Purple class mod	ClassMod_Part_Mod_Beastmaster_05_DARPAW.ClassMod_Part_Mod_Beastmaster_05_DARPAW	Ferocity / Who Rescued Who? / Self-Repairing System
Purple class mod	ClassMod_Part_Mod_Beastmaster_06_Overdriven.ClassMod_Part_Mod_Beastmaster_06_Overdriven	Rage and Recover / The Fast and the Furryous / Who Rescued Who?
Purple class mod	ClassMod_Part_Mod_Beastmaster_07_Thrillbotting.ClassMod_Part_Mod_Beastmaster_07_Thrillbotting	The Most Dangerous Game / Big Game / Hidden Machine
Purple class mod	ClassMod_Part_Mod_Beastmaster_08_TurboCharged.ClassMod_Part_Mod_Beastmaster_08_TurboCharged	Second Intention / Furious Attack / Overclocked
Purple class mod	ClassMod_Part_Mod_Beastmaster_09_Headcase.ClassMod_Part_Mod_Beastmaster_09_Headcase	Ambush Predator / Leave No Trace / The Fast and the Furryous
